Msisdn,Тариф
9292000119,Фирменный Универсальный
9292000121,Фирменный Универсальный
9292000122,Фирменный Универсальный
9292000123,Фирменный Универсальный
9292000124,Фирменный Универсальный
9292000125,Фирменный Универсальный
9292000126,Фирменный Универсальный
9292000127,Фирменный Универсальный
9292000128,Фирменный Универсальный
9292000129,Фирменный Универсальный
9292000131,Фирменный Универсальный
9292000132,Фирменный Универсальный
9292000133,Фирменный Универсальный
9292000134,Фирменный Универсальный
9292000135,Фирменный Универсальный
9292000136,Фирменный Универсальный
9292000137,Фирменный Универсальный
9292000138,Фирменный Универсальный
9292000139,Фирменный Универсальный
9292000141,Фирменный Универсальный
9292000142,Фирменный Универсальный
9292000143,Фирменный Универсальный
9292000144,Фирменный Универсальный
9292000145,Фирменный Универсальный
9292000146,Фирменный Универсальный
9292000147,Фирменный Универсальный
9292000148,Фирменный Универсальный
9292000149,Фирменный Универсальный
9292000151,Фирменный Универсальный
9292000152,Фирменный Универсальный
9292000153,Фирменный Универсальный
9292000154,Фирменный Универсальный
9292000155,Фирменный Универсальный
9292000156,Фирменный Универсальный
9292000157,Фирменный Универсальный
9292000158,Фирменный Универсальный
9292000159,Фирменный Универсальный
9292000161,Фирменный Универсальный
9292000162,Фирменный Универсальный
9292000163,Фирменный Универсальный
9292000164,Фирменный Универсальный
9292000166,Фирменный Универсальный
9292000167,Фирменный Универсальный
9292000168,Фирменный Универсальный
9292000169,Фирменный Универсальный
9292000171,Фирменный Универсальный
9292000172,Фирменный Универсальный
9292000173,Фирменный Универсальный
9292000174,Фирменный Универсальный
9292000175,Фирменный Универсальный
9292000176,Фирменный Универсальный
9292000177,Фирменный Универсальный
9292000178,Фирменный Универсальный
9292000179,Фирменный Универсальный
9292000181,Фирменный Универсальный
9292000182,Фирменный Универсальный
9292000183,Фирменный Универсальный
9292000184,Фирменный Универсальный
9292000185,Фирменный Универсальный
9292000186,Фирменный Универсальный
9292000187,Фирменный Универсальный
9292000188,Фирменный Универсальный
9292000189,Фирменный Универсальный
9292000192,Фирменный Универсальный
9292000193,Фирменный Универсальный
9292000194,Фирменный Универсальный
9292000195,Фирменный Универсальный
9292000196,Фирменный Универсальный
9292000197,Фирменный Универсальный
9292000198,Фирменный Универсальный
9292000199,Фирменный Универсальный
9292000211,Фирменный Универсальный
9292000212,Фирменный Универсальный
9292000213,Фирменный Универсальный
9292000214,Фирменный Универсальный
9292000215,Фирменный Универсальный
9292000216,Фирменный Универсальный
9292000217,Фирменный Универсальный
9292000221,Фирменный Универсальный
9292000223,Фирменный Универсальный
9292000224,Фирменный Универсальный
9292000225,Фирменный Универсальный
9292000226,Фирменный Универсальный
9292000227,Фирменный Универсальный
9292000228,Фирменный Универсальный
9292000229,Фирменный Универсальный
9292000231,Фирменный Универсальный
9292000232,Фирменный Универсальный
9292000233,Фирменный Универсальный
9292000234,Фирменный Универсальный
9292000235,Фирменный Универсальный
9292000236,Фирменный Универсальный
9292000237,Фирменный Универсальный
9292000238,Фирменный Универсальный
9292000239,Фирменный Универсальный
9292000241,Фирменный Универсальный
9292000242,Фирменный Универсальный
9292000243,Фирменный Универсальный
9292000244,Фирменный Универсальный
9292000245,Фирменный Универсальный
9292000246,Фирменный Универсальный
9292000247,Фирменный Универсальный
9292000248,Фирменный Универсальный
9292000249,Фирменный Универсальный
9292000251,Фирменный Универсальный
9292000252,Фирменный Универсальный
9292000253,Фирменный Универсальный
9292000254,Фирменный Универсальный
9292000255,Фирменный Универсальный
9292000256,Фирменный Универсальный
9292000257,Фирменный Универсальный
9292000258,Фирменный Универсальный
9292000259,Фирменный Универсальный
9292000261,Фирменный Универсальный
9292000263,Фирменный Универсальный
9292000264,Фирменный Универсальный
9292000265,Фирменный Универсальный
9292000266,Фирменный Универсальный
9292000267,Фирменный Универсальный
9292000268,Фирменный Универсальный
9292000269,Фирменный Универсальный
9292000271,Фирменный Универсальный
9292000272,Фирменный Универсальный
9292000273,Фирменный Универсальный
9292000274,Фирменный Универсальный
9292000275,Фирменный Универсальный
9292000276,Фирменный Универсальный
9292000277,Фирменный Универсальный
9292000278,Фирменный Универсальный
9292000279,Фирменный Универсальный
9292000281,Фирменный Универсальный
9292000282,Фирменный Универсальный
9292000283,Фирменный Универсальный
9292000284,Фирменный Универсальный
9292000285,Фирменный Универсальный
9292000286,Фирменный Универсальный
9292000287,Фирменный Универсальный
9292000288,Фирменный Универсальный
9292000289,Фирменный Универсальный
9292000291,Фирменный Универсальный
9292000292,Фирменный Универсальный
9292000293,Фирменный Универсальный
9292000294,Фирменный Универсальный
9292000295,Фирменный Универсальный
9292000296,Фирменный Универсальный
9292000297,Фирменный Универсальный
9292000298,Фирменный Универсальный
9292000299,Фирменный Универсальный
9292000312,Фирменный Универсальный
9292000313,Фирменный Универсальный
9292000314,Фирменный Универсальный
9292000315,Фирменный Универсальный
9292000316,Фирменный Универсальный
9292000317,Фирменный Универсальный
9292000318,Фирменный Универсальный
9292000319,Фирменный Универсальный
9292000321,Фирменный Универсальный
9292000322,Фирменный Универсальный
9292000323,Фирменный Универсальный
9292000324,Фирменный Универсальный
9292000325,Фирменный Универсальный
9292000326,Фирменный Универсальный
9292000327,Фирменный Универсальный
9292000328,Фирменный Универсальный
9292000329,Фирменный Универсальный
9292000331,Фирменный Универсальный
9292000332,Фирменный Универсальный
9292000334,Фирменный Универсальный
9292000335,Фирменный Универсальный
9292000336,Фирменный Универсальный
9292000337,Фирменный Универсальный
9292000338,Фирменный Универсальный
9292000339,Фирменный Универсальный
9292000341,Фирменный Универсальный
9292000342,Фирменный Универсальный
9292000343,Фирменный Универсальный
9292000344,Фирменный Универсальный
9292000345,Фирменный Универсальный
9292000346,Фирменный Универсальный
9292000347,Фирменный Универсальный
9292000348,Фирменный Универсальный
9292000349,Фирменный Универсальный
9292000351,Фирменный Универсальный
9292000352,Фирменный Универсальный
9292000353,Фирменный Универсальный
9292000354,Фирменный Универсальный
9292000355,Фирменный Универсальный
9292000356,Фирменный Универсальный
9292000357,Фирменный Универсальный
9292000358,Фирменный Универсальный
9292000359,Фирменный Универсальный
9292000361,Фирменный Универсальный
9292000362,Фирменный Универсальный
9292000363,Фирменный Универсальный
9292000364,Фирменный Универсальный
9292000365,Фирменный Универсальный
9292000366,Фирменный Универсальный
9292000367,Фирменный Универсальный
9292000368,Фирменный Универсальный
9292000369,Фирменный Универсальный
9292000371,Фирменный Универсальный
9292000372,Фирменный Универсальный
9292000374,Фирменный Универсальный
9292000375,Фирменный Универсальный
9292000376,Фирменный Универсальный
9292000377,Фирменный Универсальный
9292000378,Фирменный Универсальный
9292000379,Фирменный Универсальный
9292000381,Фирменный Универсальный
9292000382,Фирменный Универсальный
9292000383,Фирменный Универсальный
9292000384,Фирменный Универсальный
9292000385,Фирменный Универсальный
9292000386,Фирменный Универсальный
9292000387,Фирменный Универсальный
9292000388,Фирменный Универсальный
9292000389,Фирменный Универсальный
9292000391,Фирменный Универсальный
9292000392,Фирменный Универсальный
9292000393,Фирменный Универсальный
9292000394,Фирменный Универсальный
9292000395,Фирменный Универсальный
9292000396,Фирменный Универсальный
9292000397,Фирменный Универсальный
9292000398,Фирменный Универсальный
9292000399,Фирменный Универсальный
9292000411,Фирменный Универсальный
9292000412,Фирменный Универсальный
9292000413,Фирменный Универсальный
9292000414,Фирменный Универсальный
9292000415,Фирменный Универсальный
9292000416,Фирменный Универсальный
9292000417,Фирменный Универсальный
9292000418,Фирменный Универсальный
9292000419,Фирменный Универсальный
9292000421,Фирменный Универсальный
9292009000,Территория
9292499474,Фирменный Универсальный
9292499492,Фирменный Универсальный
9292499493,Фирменный Универсальный
9292499495,Фирменный Универсальный
9292499496,Фирменный Универсальный
9292499497,Фирменный Универсальный
9292499498,Фирменный Универсальный
9292499501,Фирменный Универсальный
9292499502,Фирменный Универсальный
9292499503,Фирменный Универсальный
9292499504,Фирменный Универсальный
9292499506,Фирменный Универсальный
9292499507,Фирменный Универсальный
9292499508,Фирменный Универсальный
9292499509,Фирменный Универсальный
9292499510,Фирменный Универсальный
9292499511,Фирменный Универсальный
9292499512,Фирменный Универсальный
9292499513,Фирменный Универсальный
9292499514,Фирменный Универсальный
9292499515,Фирменный Универсальный
9292499528,Фирменный Универсальный
9292499529,Фирменный Универсальный
9292499530,Фирменный Универсальный
9292499531,Фирменный Универсальный
9292499532,Фирменный Универсальный
9292499534,Фирменный Универсальный
9292499536,Фирменный Универсальный
9292499537,Фирменный Универсальный
9292499538,Фирменный Универсальный
9292499539,Фирменный Универсальный
9292499540,Фирменный Универсальный
9292499564,Фирменный Универсальный
9292499567,Фирменный Универсальный
9292499568,Фирменный Универсальный
9292499569,Фирменный Универсальный
9292499570,Фирменный Универсальный
9292499571,Фирменный Универсальный
9292499572,Фирменный Универсальный
9292499573,Фирменный Универсальный
9292499574,Фирменный Универсальный
9292499576,Фирменный Универсальный
9292499578,Фирменный Универсальный
9292499579,Фирменный Универсальный
9292499580,Фирменный Универсальный
9292499581,Фирменный Универсальный
9292499582,Фирменный Универсальный
9292499583,Фирменный Универсальный
9292499584,Фирменный Универсальный
9292499586,Фирменный Универсальный
9292499587,Фирменный Универсальный
9292499589,Фирменный Универсальный
9292499591,Фирменный Универсальный
9292499592,Фирменный Универсальный
9292499601,Фирменный Универсальный
9292499602,Фирменный Универсальный
9292499603,Фирменный Универсальный
9292499604,Фирменный Универсальный
9292499605,Фирменный Универсальный
9292499606,Фирменный Универсальный
9292499607,Фирменный Универсальный
9292499608,Фирменный Универсальный
9292499609,Фирменный Универсальный
9292499610,Фирменный Универсальный
9292499611,Фирменный Универсальный
9292499612,Фирменный Универсальный
9292499613,Фирменный Универсальный
9292499614,Фирменный Универсальный
9292499615,Фирменный Универсальный
9292499616,Фирменный Универсальный
9292499617,Фирменный Универсальный
9292499618,Фирменный Универсальный
9292499619,Фирменный Универсальный
9292499620,Фирменный Универсальный
9292499621,Фирменный Универсальный
9292499623,Фирменный Универсальный
9292499624,Фирменный Универсальный
9292499625,Фирменный Универсальный
9292499626,Фирменный Универсальный
9292499627,Фирменный Универсальный
9292499628,Фирменный Универсальный
9292499630,Фирменный Универсальный
9292499631,Фирменный Универсальный
9292499646,Фирменный Универсальный
9292499656,Фирменный Универсальный
9292499657,Фирменный Универсальный
9292499693,Фирменный Универсальный
9292499694,Фирменный Универсальный
9292499695,Фирменный Универсальный
9292499697,Фирменный Универсальный
9292499698,Фирменный Универсальный
9292499712,Фирменный Универсальный
9292499713,Фирменный Универсальный
9292499714,Фирменный Универсальный
9292499715,Фирменный Универсальный
9292499716,Фирменный Универсальный
9292499718,Фирменный Универсальный
9292499719,Фирменный Универсальный
9292499720,Фирменный Универсальный
9292499721,Фирменный Универсальный
9292499723,Фирменный Универсальный
9292607007,Фирменный Универсальный
9292608480,Фирменный Универсальный
9292608563,Фирменный Универсальный
9292608619,Фирменный Универсальный
9292608688,Фирменный Универсальный
9292608760,Фирменный Универсальный
9292608840,Фирменный Универсальный
9292608881,Фирменный Универсальный
9292608954,Фирменный Универсальный
9292609091,Фирменный Универсальный
9292609320,Фирменный Универсальный
9292609329,Фирменный Универсальный
9292609417,Фирменный Универсальный
9292609442,Фирменный Универсальный
9292609489,Фирменный Универсальный
9292609520,Фирменный Универсальный
9292609589,Фирменный Универсальный
9292609660,Фирменный Универсальный
9292609947,Фирменный Универсальный
9292610282,Фирменный Универсальный
9292610837,Фирменный Универсальный
9292610847,Фирменный Универсальный
9292611707,Фирменный Универсальный
9292611893,Фирменный Универсальный
9292612161,Фирменный Универсальный
9292612372,Фирменный Универсальный
9292612510,Фирменный Универсальный
9292613050,Фирменный Универсальный
9292613117,Фирменный Универсальный
9292613238,Фирменный Универсальный
9292613504,Фирменный Универсальный
9292613507,Фирменный Универсальный
9292613517,Фирменный Универсальный
9292613680,Фирменный Универсальный
9292613736,Фирменный Универсальный
9292613811,Фирменный Универсальный
9292613812,Фирменный Универсальный
9292613974,Фирменный Универсальный
9292614427,Фирменный Универсальный
9292614512,Фирменный Универсальный
9292614566,Фирменный Универсальный
9292616050,Фирменный Универсальный
9292616079,Фирменный Универсальный
9292616140,Фирменный Универсальный
9292616396,Фирменный Универсальный
9292616549,Фирменный Универсальный
9292616578,Фирменный Универсальный
9292616594,Фирменный Универсальный
9292616753,Фирменный Универсальный
9292616874,Фирменный Универсальный
9292616875,Фирменный Универсальный
9292616892,Фирменный Универсальный
9292617211,Фирменный Универсальный
9292617279,Фирменный Универсальный
9292617526,Фирменный Универсальный
9292617724,Фирменный Универсальный
9292618424,Фирменный Универсальный
9292618473,Фирменный Универсальный
9292618664,Фирменный Универсальный
9292618773,Фирменный Универсальный
9292619065,Фирменный Универсальный
9292619082,Фирменный Универсальный
9292619096,Фирменный Универсальный
9292619135,Фирменный Универсальный
9292619157,Фирменный Универсальный
9292619239,Фирменный Универсальный
9292619397,Фирменный Универсальный
9292619639,Фирменный Универсальный
9292619653,Фирменный Универсальный
9292619781,Фирменный Универсальный
9292619841,Фирменный Универсальный
9292619958,Фирменный Универсальный
9292620078,Фирменный Универсальный
9292620283,Фирменный Универсальный
9292620379,Фирменный Универсальный
9292620624,Фирменный Универсальный
9292620815,Фирменный Универсальный
9292621037,Фирменный Универсальный
9292621074,Фирменный Универсальный
9292621085,Фирменный Универсальный
9292621226,Фирменный Универсальный
9292621258,Фирменный Универсальный
9292621346,Фирменный Универсальный
9292621524,Фирменный Универсальный
9292621582,Фирменный Универсальный
9292621681,Фирменный Универсальный
9292621755,Фирменный Универсальный
9292621836,Фирменный Универсальный
9292621839,Фирменный Универсальный
9292622079,Фирменный Универсальный
9292622403,Фирменный Универсальный
9292622493,Фирменный Универсальный
9292622543,Фирменный Универсальный
9292622600,Территория
9292622748,Фирменный Универсальный
9292690107,Территория
9292690640,Территория
9292690772,Территория
9292690773,Территория
9292690775,Территория
9292690810,Территория
9292692555,Территория
9292693555,Территория
9292695404,Территория
9224868907,Фирменный Универсальный
9292000191,Фирменный Универсальный
9292000262,Фирменный Универсальный
9292000311,Фирменный Универсальный
9292000373,Фирменный Универсальный
9222651227,Альянс 1
9292690279,Альянс 1
9292691113,Альянс 1
9292691403,Фирменный Универсальный
9292691430,Фирменный Универсальный
9292691873,Фирменный Универсальный
9292692131,Фирменный Универсальный
9292694906,Фирменный Универсальный
9292695814,Альянс 1
9220005111,Территория
9220005222,Территория
9220005333,Фирменный Универсальный
9220030000,Территория
9220040000,Территория
9220088333,Территория
9220701001,Территория
9220759891,Территория
9222601777,Территория
9222670798,Территория
9224600000,Территория
9224748111,Территория
9226532190,Территория
9292690108,Территория
9292690116,Территория
9292690151,Территория
9292690215,Фирменный Универсальный
9292690358,Фирменный Универсальный
9292690515,Фирменный Универсальный
9292690587,Фирменный Универсальный
9292690625,Территория
9292690635,Территория
9292690694,Фирменный Универсальный
9292690697,Территория
9292690704,Фирменный Универсальный
9292690708,Территория
9292690733,Территория
9292690736,Фирменный Универсальный
9292690740,Фирменный Универсальный
9292690752,Территория
9292690787,Территория
9292690788,Территория
9292690799,Территория
9292690811,Фирменный Универсальный
9292690815,Фирменный Универсальный
9292690820,Территория
9292690828,Территория
9292690835,Территория
9292690844,Территория
9292690859,Фирменный Универсальный
9292690861,Фирменный Универсальный
9292690864,Территория
9292690866,Территория
9292690871,Фирменный Универсальный
9292690873,Территория
9292690877,Фирменный Универсальный
9292690907,Территория
9292690913,Территория
9292690915,Фирменный Универсальный
9292690916,Фирменный Универсальный
9292690917,Фирменный Универсальный
9292690934,Фирменный Универсальный
9292691002,Территория
9292691008,Территория
9292691017,Фирменный Универсальный
9292691040,Фирменный Универсальный
9292691059,Фирменный Универсальный
9292691098,Фирменный Универсальный
9292691102,Фирменный Универсальный
9292691116,Территория
9292691145,Фирменный Универсальный
9292691167,Фирменный Универсальный
9292691183,Фирменный Универсальный
9292691233,Фирменный Универсальный
9292691252,Фирменный Универсальный
9292691254,Фирменный Универсальный
9292691262,Фирменный Универсальный
9292691273,Фирменный Универсальный
9292691278,Фирменный Универсальный
9292691328,Фирменный Универсальный
9292691345,Фирменный Универсальный
9292691363,Фирменный Универсальный
9292691410,Фирменный Универсальный
9292691448,Фирменный Универсальный
9292691451,Фирменный Универсальный
9292691542,Фирменный Универсальный
9292691551,Фирменный Универсальный
9292691591,Фирменный Универсальный
9292691752,Фирменный Универсальный
9292691754,Фирменный Универсальный
9292691862,Фирменный Универсальный
9292691912,Фирменный Универсальный
9292691992,Фирменный Универсальный
9292692016,Фирменный Универсальный
9292692315,Фирменный Универсальный
9292692348,Фирменный Универсальный
9292692351,Фирменный Универсальный
9292692352,Фирменный Универсальный
9292692355,Фирменный Универсальный
9292692396,Фирменный Универсальный
9292692425,Фирменный Универсальный
9292692428,Фирменный Универсальный
9292694897,Фирменный Универсальный
9292694917,Фирменный Универсальный
9292695423,Фирменный Универсальный
9292695682,Фирменный Универсальный
9292695762,Фирменный Универсальный
9292695785,Фирменный Универсальный
9292696024,Фирменный Универсальный
9292696047,Фирменный Универсальный
9292690223,Фирменный Универсальный
9292690802,Территория
9292690807,Территория
9292691123,Фирменный Универсальный
9292691411,Фирменный Универсальный
9292691821,Фирменный Универсальный
9292692370,Фирменный Универсальный
9292696023,Территория
9220080000,Альянс 1
9220424441,Альянс 1
9220434441,Альянс 1
9220445944,Альянс 1
9220454494,Альянс 1
9222311011,Альянс 1
9292000452,Фирменный Универсальный
9292000476,Фирменный Универсальный
9292000482,Фирменный Универсальный
9292000485,Фирменный Универсальный
9292000489,Фирменный Универсальный
9292000492,Фирменный Универсальный
9292000524,Альянс 1
9292000525,Фирменный Универсальный
9292000535,Фирменный Универсальный
9292000575,Фирменный Универсальный
9292000584,Альянс 1
9292000588,Фирменный Универсальный
9292000695,Фирменный Универсальный
9292000698,Фирменный Универсальный
9292000711,Фирменный Универсальный
9292000714,Фирменный Универсальный
9292000722,Фирменный Универсальный
9292000747,Фирменный Универсальный
9292000877,Фирменный Универсальный
9292000949,Фирменный Универсальный
9292000958,Фирменный Универсальный
9292000995,Фирменный Универсальный
9292002801,Фирменный Универсальный
9292002805,Фирменный Универсальный
9292002814,Фирменный Универсальный
9292002819,Фирменный Универсальный
9292002821,Фирменный Универсальный
9292002822,Фирменный Универсальный
9292002823,Фирменный Универсальный
9292002824,Фирменный Универсальный
9292002825,Фирменный Универсальный
9292002826,Фирменный Универсальный
9292002827,Фирменный Универсальный
9292002829,Фирменный Универсальный
9292002830,Фирменный Универсальный
9292002831,Фирменный Универсальный
9292002835,Фирменный Универсальный
9292002836,Фирменный Универсальный
9292002849,Фирменный Универсальный
9292002856,Фирменный Универсальный
9292002872,Фирменный Универсальный
9292002879,Фирменный Универсальный
9292002880,Фирменный Универсальный
9292002884,Фирменный Универсальный
9292002885,Фирменный Универсальный
9292002886,Фирменный Универсальный
9292002887,Фирменный Универсальный
9292002889,Фирменный Универсальный
9292002895,Фирменный Универсальный
9292002896,Фирменный Универсальный
9292002897,Фирменный Универсальный
9292002901,Фирменный Универсальный
9292002902,Фирменный Универсальный
9292002903,Фирменный Универсальный
9292002904,Фирменный Универсальный
9292002922,Фирменный Универсальный
9292002954,Фирменный Универсальный
9292002956,Фирменный Универсальный
9292002962,Фирменный Универсальный
9292002974,Фирменный Универсальный
9292002981,Фирменный Универсальный
9292002982,Фирменный Универсальный
9292002983,Фирменный Универсальный
9292002984,Фирменный Универсальный
9292002986,Фирменный Универсальный
9292002987,Фирменный Универсальный
9292002991,Фирменный Универсальный
9292002993,Фирменный Универсальный
9292002994,Фирменный Универсальный
9292002995,Фирменный Универсальный
9292002996,Фирменный Универсальный
9292002997,Фирменный Универсальный
9292002998,Фирменный Универсальный
9292006159,Фирменный Универсальный
9292006163,Фирменный Универсальный
9292006164,Фирменный Универсальный
9292006165,Фирменный Универсальный
